Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Saturday,31-50,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Getting off,Not a Pedestrian,Driving carelessly,Slight Injury,12
Wednesday,Unknown,Male,Elementary school,Employee,5-10yr,Other,Owner,Above 10yr,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,14
Friday,Unknown,Female,Elementary school,Employee,2-5yr,Stationwagen,Owner,5-10yrs,Unknown, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,20
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,5-10yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,20
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,Unknown,No defect,Unknown,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,20
Sunday,Unknown,Female,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Changing lane to the left,Slight Injury,16
Sunday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Entering a junction,Not a Pedestrian,No priority to vehicle,Slight Injury,16
Wednesday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Entering a junction,Not a Pedestrian,No distancing,Slight Injury,19
Wednesday,Under 18,Male,Junior high school,Employee,Unknown,Public (> 45 seats),Governmental,Unknown,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Entering a junction,Not a Pedestrian,Moving Backward,Slight Injury,19
Wednesday,31-50,Male,Elementary school,Employee,Above 10yr,Unknown,Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Entering a junction,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Monday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,Other,Not a Pedestrian,No distancing,Slight Injury,18
Monday,31-50,Male,Unknown,Unknown,Unknown,Pick up upto 10Q,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Entering a junction,Not a Pedestrian,Overtaking,Slight Injury,18
Sunday,Unknown,Female,Junior high school,Employee,Above 10yr,Public (12 seats),Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,No distancing,Slight Injury,18
Sunday,Unknown,Female,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,Entering a junction,Not a Pedestrian,Changing lane to the left,Slight Injury,18
Monday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Entering a junction,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,22
Monday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Unknown,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Entering a junction,Not a Pedestrian,No distancing,Slight Injury,22
Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Entering a junction,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,22
Tuesday,18-30,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Entering a junction,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,Other,Not a Pedestrian,Changing lane to the left,Serious Injury,22
Saturday,18-30,Male,Elementary school,Employee,1-2yr,Motorcycle,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,16
Friday,Over 51,Male,Junior high school,Employee,Unknown,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,8
Friday,18-30,Male,Elementary school,Employee,1-2yr,Ridden horse,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Other,Not a Pedestrian,No distancing,Slight Injury,20
Thursday,Under 18,Male,Junior high school,Owner,1-2yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving carelessly,Fatal injury,19
Thursday,Unknown,Female,Above high school,Owner,1-2yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,3,Going straight,Not a Pedestrian,Moving Backward,Fatal injury,19
Thursday,18-30,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No distancing,Fatal injury,19
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,1-2yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,13
Saturday,18-30,Male,High school,Owner,Below 1yr,Automobile,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Rollover,1,Reversing,Not a Pedestrian,Driving to the left,Slight Injury,19
Friday,Unknown,Female,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,Changing lane to the right,Slight Injury,16
Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Overtaking,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Serious Injury,15
Monday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,15
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury,3
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,Serious Injury,3
Monday,Unknown,Female,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Turnover,Slight Injury,16
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Unknown,Rollover,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,8
Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury,8
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Taxi,Organization,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,12
Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No distancing,Slight Injury,12
Friday,Unknown,Male,High school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,Crossing,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19
Friday,Under 18,Male,High school,Owner,Above 10yr,Stationwagen,Governmental,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,Crossing,Unknown,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19
Friday,Under 18,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Fall from vehicles,3,Other,Not a Pedestrian,Moving Backward,Slight Injury,19
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Residential areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Entering a junction,Not a Pedestrian,No distancing,Slight Injury,19
Friday,Unknown,Female,High school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Turnover,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Friday,Under 18,Male,Junior high school,Other,No Licence,Automobile,Owner,5-10yrs,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,19
Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,8
Thursday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,8
Saturday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,4
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Serious Injury,4
Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,14
Friday,Unknown,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,14
Wednesday,Over 51,Male,Junior high school,Employee,2-5yr,Unknown,Unknown,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,7
Wednesday,31-50,Male,High school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Getting off,Not a Pedestrian,Changing lane to the left,Slight Injury,7
Tuesday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Getting off,Not a Pedestrian,No distancing,Slight Injury,8
Monday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Getting off,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,11
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,2-5yrs,Unknown,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,Moving Backward,Not a Pedestrian,Changing lane to the left,Slight Injury,11
Monday,18-30,Male,Elementary school,Employee,Above 10yr,Unknown,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,11
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,11
Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Unknown,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Waiting to go,Not a Pedestrian,Driving at high speed,Slight Injury,11
Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,1,Going straight,Not a Pedestrian,Overtaking,Slight Injury,9
Sunday,31-50,Male,High school,Owner,2-5yr,Stationwagen,Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Rollover,1,Other,Not a Pedestrian,Changing lane to the right,Slight Injury,16
Friday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,15
Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Governmental,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,15
Friday,Under 18,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Going straight,Unknown or other,Changing lane to the left,Slight Injury,12
Friday,Unknown,Female,High school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,Overtaking,Not a Pedestrian,Moving Backward,Slight Injury,12
Monday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,2-5yrs,Unknown,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Unknown,Wet or damp,Daylight,Other,Collision with pedestrians,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,20
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,7
Sunday,18-30,Male,Writing & reading,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,22
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,Turnover,Not a Pedestrian,Changing lane to the left,Serious Injury,22
Friday,Under 18,Male,High school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury,21
Friday,18-30,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,5-10yrs,Unknown,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,2,Going straight,Crossing from driver's nearside,No distancing,Slight Injury,21
Friday,18-30,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,Getting off,Not a Pedestrian,No priority to vehicle,Slight Injury,21
Wednesday,Unknown,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Moving Backward,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,19
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Getting off,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Wednesday,31-50,Male,Elementary school,Employee,1-2yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,Overtaking,Not a Pedestrian,No distancing,Slight Injury,19
Wednesday,Over 51,Female,High school,Employee,No Licence,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Saturday,18-30,Male,Junior high school,Owner,5-10yr,Taxi,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,12
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,School areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,9
Sunday,Unknown,Female,Junior high school,Employee,2-5yr,Long lorry,Governmental,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,Reversing,Not a Pedestrian,Changing lane to the right,Slight Injury,9
Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Getting off,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,12
Wednesday,31-50,Male,Unknown,Unknown,Unknown,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,17
Wednesday,31-50,Male,Unknown,Unknown,Unknown,Lorry (41?100Q),Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,1-2yr,No defect,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury,11
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No distancing,Serious Injury,11
Wednesday,18-30,Male,Junior high school,Owner,Above 10yr,Taxi,Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Wednesday,18-30,Male,Unknown,Unknown,Unknown,Other,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Stopping,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Wednesday,Over 51,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Overtaking,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Thursday,Unknown,Male,Unknown,Unknown,Unknown,Automobile,Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18
Sunday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No distancing,Serious Injury,17
Sunday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,17
